0.001953	1.599251e+00	1.313022e+01	4.925846e+01	5.181777e+01	3.197927e+01
0.003906	1.773537e+00	1.158533e+01	3.181002e+01	2.247763e+01	1.148514e+01
0.005859	1.755678e+00	9.029264e+00	1.756011e+01	1.266620e+01	3.784953e+00
0.007812	1.801648e+00	8.281157e+00	1.480187e+01	8.490778e+00	2.084417e+00
0.009766	2.015177e+00	7.492812e+00	1.276573e+01	4.780885e+00	1.202689e+00
0.011719	2.246323e+00	6.063819e+00	9.674835e+00	3.535964e+00	8.427035e-01
0.013672	2.050460e+00	5.494398e+00	9.107107e+00	3.342176e+00	6.816081e-01
0.015625	2.090769e+00	5.103792e+00	8.315944e+00	2.836645e+00	5.197809e-01
0.017578	1.526462e+00	5.850142e+00	7.141083e+00	2.718490e+00	4.658316e-01
0.019531	1.301283e+00	5.411424e+00	6.537772e+00	2.013640e+00	3.630945e-01
0.021484	1.814558e+00	5.048726e+00	5.968716e+00	1.640175e+00	2.505391e-01
0.023438	2.075428e+00	4.831434e+00	5.102849e+00	1.717227e+00	2.248542e-01
0.025391	2.245866e+00	4.627702e+00	4.738061e+00	1.413099e+00	2.116902e-01
0.027344	2.062635e+00	3.702124e+00	5.091443e+00	1.284689e+00	1.693692e-01
0.029297	1.896325e+00	3.276599e+00	4.478784e+00	1.126238e+00	1.287252e-01
0.031250	2.253391e+00	3.771296e+00	4.207480e+00	9.225148e-01	1.137752e-01
0.033203	1.677591e+00	4.149378e+00	2.996460e+00	9.438294e-01	1.012197e-01
0.035156	1.833150e+00	3.682387e+00	3.435709e+00	8.444843e-01	9.851573e-02
0.037109	2.204144e+00	3.724203e+00	3.161484e+00	8.219588e-01	8.759915e-02
0.039062	1.985869e+00	3.517170e+00	3.251155e+00	8.066567e-01	8.351271e-02
0.041016	1.988448e+00	3.792643e+00	2.871244e+00	6.792420e-01	7.860802e-02
0.042969	2.241816e+00	3.641521e+00	3.008913e+00	6.333438e-01	7.186647e-02
